Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|При одинаковых массах моменты инерции полых тел больше, чем сплошных. Поэтому на долю вращательного движения у полых тел приходится относительно бОльшая кинетическая энергия, чем у сплошных.
В физике Ньютона по каким траекториям движутся планеты?|По эллиптической
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|Система должна быть замкнутой.
В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|Если движущееся начало совпадает с центром масс системы
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|Следует добавить, что при это предполагается, что тело, подставка и подвес покоятся в той системе отсчёта, в которой производится взвешивание. Когда говорят о весе тела, обычно предполагают, что тело, подставка и подвес покоятся относительно Земли.
Почему величина третьей космической скорости не определена однозначно?|Величина третьей космической скорости зависит от того, в каком направлении корабль выходит из зоны действия земного тяготения.
Чем силы инерции отличаются от обычных сил классической механики?|Силы инерции не подчиняются закону равенства действия и противодействия. Силы инерции всегда являются внешними по отношению к любой движущейся системе материальных тел.
Что может являться причиной нерегулярных колебаний продолжительности суток?|Наклонение земной оси к эклиптике
Чему равна сумма моментов инерции тела относительно трех произвольных осей, пересекающихся в одной точке О?|Удвоенному моменту инерции того же тела относительно этой точки.
Почему величина третьей космической скорости не определена однозначно?|Величина третьей космической скорости зависит от того, в каком направлении корабль выходит из зоны действия земного тяготения.
Выберем в твердом теле некоторую точку О. Произвольное движение твердого тела разложим на поступательное движение со скоростью, равной скорости точки О, и вращательное движение вокруг мгновенной оси, проходящей через эту точку. Выберем теперь другую точку А и опять разложим движение на поступательное движение со скоростью, равной скорости точки А, и вращательное движение вокруг мгновенной оси, проходящей через точку А. Известно, что поступательная скорость движения при переходе от точки О к точке А увеличилась в два раза. Как при этом изменилась скорость вращательного движения?|Не изменится
Чем некорректно следующее определение: "весом тела называется приложенная к нему сила, равная и противоположно направленная силе, с которой это тело действует на подставку, на которой оно лежит, или тянет за подвес, к которому оно подвешено"?|Следует добавить, что при это предполагается, что тело, подставка и подвес покоятся в той системе отсчёта, в которой производится взвешивание. Когда говорят о весе тела, обычно предполагают, что тело, подставка и подвес покоятся относительно Земли.
Почему полые тела скатываются с наклонной плоскости за другое время, чем сплошные тела той же геометрической формы?|При одинаковых массах моменты инерции полых тел больше, чем сплошных. Поэтому на долю вращательного движения у полых тел приходится относительно бОльшая кинетическая энергия, чем у сплошных.
Почему удержаться в транспорте на поворотах легче в неподвижном состоянии, чем при движении?|Из-за действии силы Кориолиса при движении по салону транспорта.
В физике Ньютона по каким траекториям движутся планеты?|По эллиптическим
В каком случае уравнение моментов относительно движущегося начала имеет такой же вид, что и относительно неподвижного начала?|Если движущееся начало совпадает с центром масс системы.
При рассмотрении движения тела относительно Земли студент учел и центробежную силу и кориолисову силу, но не учел гравитационные силы со стороны Солнца и Луны. Почему?|Так как они достаточно малы, чтобы их не учитывать.
Апогелий планеты на 10% больше перигелия. Как относятся площади, которые описывают радиус-векторы планет в апогелии и перигелии за одну секунду?|1/1
Чем силы инерции отличаются от обычных сил классической механики?|Силы инерции не подчиняются закону равенства действия и противодействия. Силы инерции всегда являются внешними по отношению к любой движущейся системе материальных тел.
Имеется твердое тело, имеющее одну неподвижную точку. Нужно перевести тело из произвольного начального положения в произвольное конечное положение. Какое минимальное количество поворотов (и осей вращения) потребуется для этого в общем случае? |1
Что является некорректным в следующем определении однородности времени: "однородность времени означает, что если в два любые момента времени все тела некоторой системы поставить в совершенно одинаковые условия, то начиная с этих моментов все явления в ней будут протекать совершенно одинаково"?|Система должна быть замкнутой.
Что общего между сальто прыгуна и пируэтом балерины?|Оба совершают вращательное движение.
Сколько параметров требуется для описания неквазистатического процесса в общем случае?|Бесконечное множество
